Date,Open,High,Low,Close,Adj Close,Volume
2019-04-17,16.58,17.07,16.35,16.59,15.544322,2051800
2019-04-18,16.58,16.58,15.94,16.049999,15.038357,1182700
2019-04-22,15.95,15.95,15.19,15.26,14.298152,2324200
2019-04-23,15.28,15.32,14.87,15.25,14.28878,1834500
2019-04-24,15.27,15.56,15.08,15.44,14.466805,1278100
2019-04-25,15.44,15.54,15.06,15.3,14.33563,1278800
2019-04-26,15.39,15.65,15.32,15.4,14.429327,1182000
2019-04-29,15.86,15.96,15.28,15.5,14.523025,2582900
2019-04-30,15.41,15.43,14.88,15.16,14.204454,1663700
2019-05-01,15.15,15.3,14.7,14.71,13.782819,1882800
2019-05-02,14.69,14.8,14.33,14.7,13.773447,1042900
2019-05-03,14.87,14.96,14.48,14.59,13.670382,1773300
2019-05-06,14.39,15,14.3,14.87,13.932733,1551900
2019-05-07,14.88,15.22,14.82,14.97,14.02643,1546100
2019-05-08,14.91,14.97,14.57,14.65,13.7266,1749300
2019-05-09,13.79,13.9,13.02,13.63,12.770891,5898100
2019-05-10,13.58,13.93,13.29,13.82,12.948915,2255200
2019-05-13,13.53,13.75,13.06,13.29,12.452321,2335600
2019-05-14,13.39,13.65,13.36,13.5,12.649085,1569400
2019-05-15,13.35,13.72,13.31,13.58,12.724042,1630400
2019-05-16,13.57,13.67,13.33,13.4,12.555388,1793200
2019-05-17,13.32,13.55,13.11,13.13,12.302406,1992400
2019-05-20,13.19,13.22,12.9,13,12.180601,2032000
2019-05-21,13.09,13.33,13.03,13.21,12.377365,1752500
2019-05-22,13.2,13.33,13.03,13.04,12.21808,983200
2019-05-23,12.98,13,12.68,12.95,12.133752,2114700
2019-05-24,13,13.06,12.65,12.69,11.890139,1118000
2019-05-28,12.69,12.81,12.45,12.5,11.712117,1395500
2019-05-29,12.46,12.52,12.01,12.06,11.29985,1886600
2019-05-30,12.06,12.39,11.91,12.01,11.253001,1622200
2019-05-31,11.88,12.14,11.71,11.98,11.224891,1439500
2019-06-03,11.94,12.03,11.76,11.9,11.149934,1632400
2019-06-04,12.01,12.08,11.75,11.78,11.037498,2012500
2019-06-05,11.85,11.87,11.13,11.18,10.475316,3452700
2019-06-06,11.18,11.2,10.7,11.09,10.390989,4026100
2019-06-07,11,11.21,10.72,10.75,10.257404,2437400
2019-06-10,10.81,11.01,10.79,10.94,10.438698,2265900
2019-06-11,11,11.18,10.97,11.04,10.534116,1514300
2019-06-12,11.05,11.15,10.65,10.69,10.200154,1665100
2019-06-13,10.75,10.97,10.63,10.95,10.44824,3184500
2019-06-14,10.93,11.02,10.83,10.96,10.457782,1510200
